ID,Tube,Trt,Time ,Type,Rep,Weight,Qubit.1,Qubit.2,Sample.Date,Extraction.Date,Notes,,,,,,,,,,
7,S_Plt_Sperm_17,Steamed ,Planting,Spermosphere,17,258.8,7.5,7.53,6/16/2023,9/6/2023,,,,,,,,,,,
5,S_Plt_Sperm_19,Steamed ,Planting,Spermosphere,19,146.2,31.1,31.4,6/16/2023,9/6/2023,,,,,,,,,,,
9,S_Plt_Sperm_2,Steamed ,Planting,Spermosphere,2,282.2,8.19,8.32,6/16/2023,9/6/2023,,,,,,,,,,,
8,S_Plt_Sperm_5,Steamed ,Planting,Spermosphere,5,234.5,9.61,9.32,6/16/2023,9/6/2023,,,,,,,,,,,
3,S_Plt_Sperm_6,Steamed ,Planting,Spermosphere,6,253.2,3.39,3.62,6/16/2023,9/6/2023,,,,,,,,,,,
2,S_Plt_Sperm_9,Steamed ,Planting,Spermosphere,9,248.2,4.75,4.63,6/16/2023,9/6/2023,,,,,,,,,,,
85,S_V2_Bulk_1,Steamed ,V2,Bulk.Soil,1,252.6,7.84,7.62,7/5/2023,9/12/2023,,,,,,,,,,,
90,S_V2_Bulk_10,Steamed ,V2,Bulk.Soil,10,282.9,11.7,11.4,7/5/2023,9/12/2023,,,,,,,,,,,
91,S_V2_Bulk_11,Steamed ,V2,Bulk.Soil,11,286.4,6.75,6.71,7/5/2023,9/12/2023,,,,,,,,,,,
92,S_V2_Bulk_14,Steamed ,V2,Bulk.Soil,14,288.4,8.15,8.08,7/5/2023,9/12/2023,,,,,,,,,,,
93,S_V2_Bulk_18,Steamed ,V2,Bulk.Soil,18,285.9,8.5,8.33,7/5/2023,9/12/2023,,,,,,,,,,,
94,S_V2_Bulk_20,Steamed ,V2,Bulk.Soil,20,275.4,4.93,4.9,7/5/2023,9/12/2023,,,,,,,,,,,
86,S_V2_Bulk_3,Steamed ,V2,Bulk.Soil,3,275.4,11.5,11.3,7/5/2023,9/12/2023,,,,,,,,,,,
87,S_V2_Bulk_4,Steamed ,V2,Bulk.Soil,4,270,5.98,5.79,7/5/2023,9/12/2023,,,,,,,,,,,
88,S_V2_Bulk_7,Steamed ,V2,Bulk.Soil,7,270,21.4,21.2,7/5/2023,9/12/2023,,,,,,,,,,,
89,S_V2_Bulk_8,Steamed ,V2,Bulk.Soil,8,266,8.5,8.44,7/5/2023,9/12/2023,,,,,,,,,,,
106,S_V2_Rhizo_1,Steamed ,V2,Rhizosphere,1,216.9,13.5,13.2,7/5/2023,9/14/2023,,,,,,,,,,,
111,S_V2_Rhizo_10,Steamed ,V2,Rhizosphere,10,358.7,22,21.8,7/5/2023,9/14/2023,,,,,,,,,,,
