OTU,Kingdom,Phylum,Class,Order,Family ,Genus
BOTU_6429,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae
BOTU_6418,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
BOTU_6363,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus
BOTU_6379,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
BOTU_6413,Bacteria,Chloroflexi,SHA-26,SHA-26,SHA-26,SHA-26
BOTU_6451,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b
BOTU_6417,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Chlamydiaceae,unidentified
BOTU_6354,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,unidentified
BOTU_6460,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast
BOTU_6399,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified
